"","1026","1028","1030","1032","1034","1036","1038","1040","1042","1044","H1","H10","H11","H12","H2","H3","H4","H5","H6","H7","H8","H9"
"MSTRG.51134.1",80,95,0,62,64,82,0,69,47,44,71,43,59,87,66,108,57,74,72,73,54,0
"MSTRG.71307.1",0,0,94,0,0,105,86,0,83,75,0,55,0,117,0,133,0,0,0,0,0,133
"MSTRG.41940.2",67,86,0,33,90,0,71,0,0,0,28,0,0,88,84,130,90,99,0,81,58,0
"MSTRG.52964.1",0,245,0,123,0,306,227,234,130,0,0,0,139,0,0,296,0,179,193,217,0,0
"MSTRG.67825.1",0,0,0,135,0,0,0,145,133,70,0,77,0,140,0,0,0,4,103,0,0,0
"MSTRG.35290.1",0,256,0,97,118,151,226,183,74,101,259,263,176,336,212,393,270,276,217,320,127,0
"MSTRG.97339.1",0,99,0,0,0,55,97,0,0,0,12,0,52,2,0,126,0,101,2,90,0,0
"MSTRG.40954.1",65,116,0,80,73,84,84,121,103,30,94,96,77,88,112,167,95,90,141,93,0,0
"MSTRG.17789.1",0,0,87,73,0,0,0,128,121,60,0,87,0,0,0,0,0,0,0,0,57,0
"MSTRG.30358.1",0,0,0,0,91,0,110,39,42,0,0,0,100,10,0,219,0,150,49,171,0,0
"MSTRG.96768.1",0,73,0,52,53,96,74,55,36,0,0,0,0,0,0,128,0,60,65,86,0,0
"MSTRG.57851.1",84,111,0,54,0,91,120,0,0,48,133,0,138,152,0,247,0,154,0,0,0,0
"MSTRG.103049.1",0,456,0,0,188,0,1449,330,201,0,0,0,404,0,561,0,0,0,759,531,213,0
"MSTRG.69850.3",132,193,0,0,0,91,231,112,62,0,0,0,0,0,0,106,74,73,0,0,0,0
"MSTRG.33240.1",59,51,15,79,29,31,56,102,60,45,32,96,82,39,11,100,122,68,37,70,15,11
"MSTRG.35921.1",0,0,0,169,0,313,0,206,161,0,0,450,328,355,0,590,0,0,194,0,235,0
"MSTRG.38179.1",0,36,0,0,77,0,62,0,0,0,0,16,37,0,163,82,0,51,0,39,0,0
"MSTRG.97997.1",66,63,0,46,52,45,53,69,59,41,0,90,42,83,77,139,73,71,64,81,43,0
"MSTRG.9445.1",0,62,0,80,0,0,61,0,137,29,0,0,47,0,0,57,0,59,0,53,0,0
"MSTRG.45829.2",192,0,103,0,0,297,108,0,99,0,69,76,0,113,271,0,0,0,0,0,87,0
"MSTRG.111876.1",71,85,0,44,0,0,0,65,39,72,107,0,0,150,0,0,0,0,0,0,90,0
"MSTRG.49381.1",68,153,0,74,0,363,147,0,154,0,112,109,0,135,0,0,130,179,0,223,0,0
"MSTRG.43018.1",133,93,0,74,0,78,102,102,50,85,0,0,0,0,164,0,0,0,81,109,86,0
"MSTRG.33314.1",201,264,0,0,148,225,193,0,0,125,0,0,92,181,188,166,0,98,0,0,0,0
"MSTRG.97147.1",0,538,0,371,361,298,548,703,276,160,528,0,316,599,788,747,491,448,428,507,0,0
"MSTRG.97372.1",134,113,0,0,0,0,110,0,0,0,0,100,86,143,0,0,0,0,73,114,100,0
"MSTRG.103900.1",0,0,54,0,83,43,0,0,0,58,0,74,0,83,247,0,0,0,0,0,54,0
"MSTRG.43299.1",0,644,0,404,487,512,0,441,293,346,827,637,433,857,873,909,606,507,366,633,0,0
"MSTRG.19253.1",49,0,0,55,0,375,37,87,105,0,69,0,0,0,0,0,0,0,0,0,0,0
"MSTRG.82315.1",279,368,190,0,233,0,0,0,0,148,228,0,0,313,0,0,0,0,0,0,130,228
"MSTRG.3065.1",56,207,0,78,82,54,131,134,0,16,0,0,0,90,162,0,0,0,0,0,124,0
"MSTRG.101448.1",0,146,0,0,126,196,105,98,0,0,85,138,0,0,0,0,83,0,0,137,0,0
"MSTRG.25124.1",66,0,0,56,65,85,70,0,63,45,49,47,40,84,73,75,46,55,70,65,29,0
"MSTRG.31818.1",0,0,0,171,0,0,0,201,138,97,0,273,25,198,0,0,0,25,308,0,0,0
"MSTRG.100690.1",47,40,0,0,43,40,38,80,35,0,63,30,13,64,94,68,36,46,40,34,35,0
"MSTRG.61042.1",51,18,0,18,0,23,23,30,25,0,26,20,18,33,0,51,33,26,18,24,18,0
"MSTRG.83411.2",69,0,0,0,0,116,89,0,0,0,77,0,101,64,0,113,0,0,100,121,0,0
"MSTRG.102629.1",0,92,0,0,52,82,148,0,0,0,0,0,110,0,104,228,0,114,0,177,0,0
"MSTRG.99881.1",109,288,3,205,111,167,346,347,198,70,108,181,57,191,139,222,79,130,176,206,3,0
